id_starships;name;model;manufacturer;cost_in_credits;length;crew;passengers;consumables;id_people
2;CR90 corvette;CR90 corvette;Corellian Engineering Corporation;3500000;150;165;600;1 year;0
3;Star Destroyer;Imperial I-class Star Destroyer;Kuat Drive Yards;150000000;1600;47060;0;2 years;0
5;Sentinel-class landing craft;Sentinel-class landing craft;Sienar Fleet Systems, Cyngus Spaceworks;240000;38;5;75;1 month;0
9;Death Star;DS-1 Orbital Battle Station;Imperial Department of Military Research, Sienar Fleet Systems;1000000000000;120000;342953;843342;3 years;0
10;Millennium Falcon;YT-1300 light freighter;Corellian Engineering Corporation;100000;34.37;4;6;2 months;13
11;Y-wing;BTL Y-wing;Koensayr Manufacturing;134999;14;2;0;1 week;0
12;X-wing;T-65 X-wing;Incom Corporation;149999;12.5;1;0;1 week;1
13;TIE Advanced x1;Twin Ion Engine Advanced x1;Sienar Fleet Systems;0;9.2;1;0;5 days;4
15;Executor;Executor-class star dreadnought;Kuat Drive Yards, Fondor Shipyards;1143350000;19000;279144;38000;6 years;0
17;Rebel transport;GR-75 medium transport;Gallofree Yards, Inc.;0;90;6;90;6 months;0
21;Slave 1;Firespray-31-class patrol and attack;Kuat Systems Engineering;0;21.5;1;6;1 month;22
22;Imperial shuttle;Lambda-class T-4a shuttle;Sienar Fleet Systems;240000;20;6;20;2 months;1
23;EF76 Nebulon-B escort frigate;EF76 Nebulon-B escort frigate;Kuat Drive Yards;8500000;300;854;75;2 years;0
27;Calamari Cruiser;MC80 Liberty type Star Cruiser;Mon Calamari shipyards;104000000;1200;5400;1200;2 years;0
28;A-wing;RZ-1 A-wing Interceptor;Alliance Underground Engineering, Incom Corporation;175000;9.6;1;0;1 week;29
29;B-wing;A/SF-01 B-wing starfighter;Slayn & Korpil;220000;16.9;1;0;1 week;0
31;Republic Cruiser;Consular-class cruiser;Corellian Engineering Corporation;0;115;9;16;0;0
32;Droid control ship;Lucrehulk-class Droid Control Ship;Hoersch-Kessel Drive, Inc.;0;3170;175;139000;500 days;0
39;Naboo fighter;N-1 starfighter;Theed Palace Space Vessel Engineering Corps;200000;11;1;0;7 days;11
40;Naboo Royal Starship;J-type 327 Nubian royal starship;Theed Palace Space Vessel Engineering Corps, Nubia Star Drives;0;76;8;0;0;39
41;Scimitar;Star Courier;Republic Sienar Systems;55000000;26.5;1;6;30 days;44
43;J-type diplomatic barge;J-type diplomatic barge;Theed Palace Space Vessel Engineering Corps, Nubia Star Drives;2000000;39;5;10;1 year;0
47;AA-9 Coruscant freighter;Botajef AA-9 Freighter-Liner;Botajef Shipyards;0;390;0;30000;0;0
48;Jedi starfighter;Delta-7 Aethersprite-class interceptor;Kuat Systems Engineering;180000;8;1;0;7 days;10
49;H-type Nubian yacht;H-type Nubian yacht;Theed Palace Space Vessel Engineering Corps;0;47.9;4;0;0;35
52;Republic Assault ship;Acclamator I-class assault ship;Rothana Heavy Engineering;0;752;700;16000;2 years;0
58;Solar Sailer;Punworcca 116-class interstellar sloop;Huppla Pasa Tisc Shipwrights Collective;35700;15.2;3;11;7 days;0
59;Trade Federation cruiser;Providence-class carrier/destroyer;Rendili StarDrive, Free Dac Volunteers Engineering corps.;125000000;1088;600;48247;4 years;10
61;Theta-class T-2c shuttle;Theta-class T-2c shuttle;Cygnus Spaceworks;1000000;18.5;5;16;56 days;0
63;Republic attack cruiser;Senator-class Star Destroyer;Kuat Drive Yards, Allanteen Six shipyards;59000000;1137;7400;2000;2 years;0
64;Naboo star skiff;J-type star skiff;Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated;0;29.2;3;3;0;10
65;Jedi Interceptor;Eta-2 Actis-class light interceptor;Kuat Systems Engineering;320000;5.47;1;0;2 days;10
66;arc-170;Aggressive Reconnaissance-170 starfighte;Incom Corporation, Subpro Corporation;155000;14.5;3;0;5 days;0
68;Banking clan frigte;Munificent-class star frigate;Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries;57000000;825;200;0;2 years;0
74;Belbullab-22 starfighter;Belbullab-22 starfighter;Feethan Ottraw Scalable Assemblies;168000;6.71;1;0;7 days;10
75;V-wing;Alpha-3 Nimbus-class V-wing starfighter;Kuat Systems Engineering;102500;7.9;1;0;15 hours;0
